group,sys,action,total,involved,ms
contacts,Earp,insert,500,500,18973
contacts,Earp,insert,500,500,18819
contacts,Earp,insert,500,500,17452
contacts,Earp,insert,500,500,18940
contacts,Earp,insert,500,500,19005
contacts,Earp,insert,500,500,18004
contacts,Earp,insert,500,500,18027
contacts,Earp,insert,500,500,19305
contacts,Earp,insert,500,500,21908
contacts,Earp,insert,500,500,20901
contacts,Earp,enum,500,500,1098
contacts,Earp,enum,500,500,1105
contacts,Earp,enum,500,500,1133
contacts,Earp,enum,500,500,1133
contacts,Earp,enum,500,500,1160
contacts,Earp,enum,500,500,1186
contacts,Earp,enum,500,500,1140
contacts,Earp,enum,500,500,1174
contacts,Earp,enum,500,500,1138
contacts,Earp,enum,500,500,1155
contacts,FFOS,insert,500,500,31941
contacts,FFOS,insert,500,500,31942
contacts,FFOS,insert,500,500,31764
contacts,FFOS,insert,500,500,32071
contacts,FFOS,insert,500,500,31448
contacts,FFOS,insert,500,500,31889
contacts,FFOS,insert,500,500,31645
contacts,FFOS,insert,500,500,32052
contacts,FFOS,insert,500,500,32360
contacts,FFOS,insert,500,500,31571
contacts,FFOS,enum,500,500,1110
contacts,FFOS,enum,500,500,1090
contacts,FFOS,enum,500,500,1088
contacts,FFOS,enum,500,500,1101
contacts,FFOS,enum,500,500,1131
contacts,FFOS,enum,500,500,1106
contacts,FFOS,enum,500,500,1123
contacts,FFOS,enum,500,500,1124
contacts,FFOS,enum,500,500,1093
contacts,FFOS,enum,500,500,1083
files,FFOS,create,100,100,342.9
files,FFOS,create,100,100,360.81
files,FFOS,create,100,100,369.59
files,FFOS,create,100,100,337.46
files,FFOS,create,100,100,392.09
files,FFOS,create,100,100,352.36
files,FFOS,create,100,100,361.48
files,FFOS,create,100,100,335.57
files,FFOS,create,100,100,342.43
files,FFOS,create,100,100,331.12
files,FFOS,delete,100,100,302.52
files,FFOS,delete,100,100,293.58
files,FFOS,delete,100,100,319.244
files,FFOS,delete,100,100,287.17
files,FFOS,delete,100,100,298.92
files,FFOS,delete,100,100,311.22
files,FFOS,delete,100,100,369.44
files,FFOS,delete,100,100,303.96
files,FFOS,delete,100,100,287.45
files,FFOS,delete,100,100,312.93
contacts,Earp,getName,500,1,2655
contacts,Earp,getName,500,1,2501
contacts,Earp,getName,500,1,2721
contacts,Earp,getName,500,1,2832
contacts,Earp,getName,500,1,2797
contacts,Earp,getName,500,1,2559
contacts,Earp,getName,500,1,2757
contacts,Earp,getName,500,1,2787
contacts,Earp,getName,500,1,2776
contacts,Earp,getName,500,1,3603
contacts,Earp,getTel,500,1,3838
contacts,Earp,getTel,500,1,3886
contacts,Earp,getTel,500,1,3874
contacts,Earp,getTel,500,1,3696
contacts,Earp,getTel,500,1,3716
contacts,Earp,getTel,500,1,4611
contacts,Earp,getTel,500,1,3808
contacts,Earp,getTel,500,1,3754
contacts,Earp,getTel,500,1,3820
contacts,Earp,getTel,500,1,3821
contacts,FFOS,getName,500,1,4346
contacts,FFOS,getName,500,1,8111
contacts,FFOS,getName,500,1,8105
contacts,FFOS,getName,500,1,8185
contacts,FFOS,getName,500,1,7882
contacts,FFOS,getName,500,1,7987
contacts,FFOS,getName,500,1,8129
contacts,FFOS,getName,500,1,7761
contacts,FFOS,getName,500,1,8157
contacts,FFOS,getName,500,1,7358
contacts,FFOS,getTel,500,1,7778
contacts,FFOS,getTel,500,1,8085
contacts,FFOS,getTel,500,1,8134
contacts,FFOS,getTel,500,1,8003
contacts,FFOS,getTel,500,1,7824
contacts,FFOS,getTel,500,1,8030
contacts,FFOS,getTel,500,1,8324
contacts,FFOS,getTel,500,1,7721
contacts,FFOS,getTel,500,1,8303
contacts,FFOS,getTel,500,1,8041
photos,FFOS,insertBlobSmall,50,50,1172
photos,FFOS,insertBlobSmall,50,50,1337
photos,FFOS,insertBlobSmall,50,50,1348
photos,FFOS,insertBlobSmall,50,50,1393
photos,FFOS,insertBlobSmall,50,50,1393
photos,FFOS,insertBlobSmall,50,50,1355
photos,FFOS,insertBlobSmall,50,50,1337
photos,FFOS,insertBlobSmall,50,50,1417
photos,FFOS,insertBlobSmall,50,50,1403
photos,FFOS,insertBlobSmall,50,50,1707
photos,FFOS,readBlobSmall,50,50,260
photos,FFOS,readBlobSmall,50,50,231
photos,FFOS,readBlobSmall,50,50,259
photos,FFOS,readBlobSmall,50,50,278
photos,FFOS,readBlobSmall,50,50,292
photos,FFOS,readBlobSmall,50,50,247
photos,FFOS,readBlobSmall,50,50,259
photos,FFOS,readBlobSmall,50,50,257
photos,FFOS,readBlobSmall,50,50,259
photos,FFOS,readBlobSmall,50,50,327
photos,FFOS,insertBlobLarge,50,50,10061
photos,FFOS,insertBlobLarge,50,50,9939
photos,FFOS,insertBlobLarge,50,50,9861
photos,FFOS,insertBlobLarge,50,50,10460
photos,FFOS,insertBlobLarge,50,50,9922
photos,FFOS,insertBlobLarge,50,50,10232
photos,FFOS,insertBlobLarge,50,50,10571
photos,FFOS,insertBlobLarge,50,50,10113
photos,FFOS,insertBlobLarge,50,50,10052
photos,FFOS,insertBlobLarge,50,50,10251
photos,FFOS,readBlobLarge,50,50,311
photos,FFOS,readBlobLarge,50,50,247
photos,FFOS,readBlobLarge,50,50,234
photos,FFOS,readBlobLarge,50,50,270
photos,FFOS,readBlobLarge,50,50,291
photos,FFOS,readBlobLarge,50,50,236
photos,FFOS,readBlobLarge,50,50,305
photos,FFOS,readBlobLarge,50,50,279
photos,FFOS,readBlobLarge,50,50,270
photos,FFOS,readBlobLarge,50,50,330
files,Earp,create,200,200,320
files,Earp,create,200,200,507
files,Earp,create,200,200,395
files,Earp,create,200,200,353
files,Earp,create,200,200,386
files,Earp,create,200,200,355
files,Earp,create,200,200,364
files,Earp,create,200,200,487
files,Earp,create,200,200,351
files,Earp,create,200,200,342
files,Earp,delete,200,200,270
files,Earp,delete,200,200,365
files,Earp,delete,200,200,286
files,Earp,delete,200,200,285
files,Earp,delete,200,200,279
files,Earp,delete,200,200,257
files,Earp,delete,200,200,249
files,Earp,delete,200,200,282
files,Earp,delete,200,200,288
files,Earp,delete,200,200,267
files,FFOS,create,200,200,393
files,FFOS,create,200,200,367
files,FFOS,create,200,200,359
files,FFOS,create,200,200,341
files,FFOS,create,200,200,523
files,FFOS,create,200,200,369
files,FFOS,create,200,200,358
files,FFOS,create,200,200,348
files,FFOS,create,200,200,472
files,FFOS,create,200,200,365
files,FFOS,delete,200,200,369
files,FFOS,delete,200,200,355
files,FFOS,delete,200,200,301
files,FFOS,delete,200,200,290
files,FFOS,delete,200,200,316
files,FFOS,delete,200,200,285
files,FFOS,delete,200,200,432
files,FFOS,delete,200,200,299
files,FFOS,delete,200,200,361
files,FFOS,delete,200,200,289
IAC,Earp,IAC,100,100,22723
IAC,Earp,IAC,100,100,23002
IAC,Earp,IAC,100,100,23429
IAC,Earp,IAC,100,100,22808
IAC,Earp,IAC,100,100,23106
IAC,Earp,IAC,100,100,22838
IAC,Earp,IAC,100,100,23544
IAC,Earp,IAC,100,100,21011
IAC,Earp,IAC,100,100,23387
IAC,Earp,IAC,100,100,23626
IAC,FFOS,IAC,100,100,23874
IAC,FFOS,IAC,100,100,22468
IAC,FFOS,IAC,100,100,22324
IAC,FFOS,IAC,100,100,22825
IAC,FFOS,IAC,100,100,22559
IAC,FFOS,IAC,100,100,22847
IAC,FFOS,IAC,100,100,22533
IAC,FFOS,IAC,100,100,22565
IAC,FFOS,IAC,100,100,22449
IAC,FFOS,IAC,100,100,22493
photos,Earp,insertBlobLarge,50,50,9613
photos,Earp,insertBlobLarge,50,50,9703
photos,Earp,insertBlobLarge,50,50,10415
photos,Earp,insertBlobLarge,50,50,10548
photos,Earp,insertBlobLarge,50,50,10406
photos,Earp,insertBlobLarge,50,50,10487
photos,Earp,insertBlobLarge,50,50,9955
photos,Earp,insertBlobLarge,50,50,10468
photos,Earp,insertBlobLarge,50,50,9930
photos,Earp,insertBlobLarge,50,50,10425
photos,Earp,readBlobLarge,50,50,144
photos,Earp,readBlobLarge,50,50,134
photos,Earp,readBlobLarge,50,50,118
photos,Earp,readBlobLarge,50,50,110
photos,Earp,readBlobLarge,50,50,99
photos,Earp,readBlobLarge,50,50,141
photos,Earp,readBlobLarge,50,50,154
photos,Earp,readBlobLarge,50,50,170
photos,Earp,readBlobLarge,50,50,141
photos,Earp,readBlobLarge,50,50,117
photos,Earp,insertBlobSmall,50,50,989
photos,Earp,insertBlobSmall,50,50,967
photos,Earp,insertBlobSmall,50,50,855
photos,Earp,insertBlobSmall,50,50,868
photos,Earp,insertBlobSmall,50,50,836
photos,Earp,insertBlobSmall,50,50,840
photos,Earp,insertBlobSmall,50,50,853
photos,Earp,insertBlobSmall,50,50,912
photos,Earp,insertBlobSmall,50,50,821
photos,Earp,insertBlobSmall,50,50,817
photos,Earp,readBlobSmall,50,50,117
photos,Earp,readBlobSmall,50,50,116
photos,Earp,readBlobSmall,50,50,137
photos,Earp,readBlobSmall,50,50,116
photos,Earp,readBlobSmall,50,50,115
photos,Earp,readBlobSmall,50,50,145
photos,Earp,readBlobSmall,50,50,143
photos,Earp,readBlobSmall,50,50,125
photos,Earp,readBlobSmall,50,50,104
photos,Earp,readBlobSmall,50,50,147
files,Earp,createrRawBlobSmall,50,50,211
files,Earp,createrRawBlobSmall,50,50,186
files,Earp,createrRawBlobSmall,50,50,194
files,Earp,createrRawBlobSmall,50,50,185
files,Earp,createrRawBlobSmall,50,50,170
files,Earp,createrRawBlobSmall,50,50,192
files,Earp,createrRawBlobSmall,50,50,337
files,Earp,createrRawBlobSmall,50,50,186
files,Earp,createrRawBlobSmall,50,50,231
files,Earp,createrRawBlobSmall,50,50,182
files,FFOS,createrRawBlobSmall,50,50,227
files,FFOS,createrRawBlobSmall,50,50,214
files,FFOS,createrRawBlobSmall,50,50,221
files,FFOS,createrRawBlobSmall,50,50,216
files,FFOS,createrRawBlobSmall,50,50,227
files,FFOS,createrRawBlobSmall,50,50,221
files,FFOS,createrRawBlobSmall,50,50,232
files,FFOS,createrRawBlobSmall,50,50,212
files,FFOS,createrRawBlobSmall,50,50,224
files,FFOS,createrRawBlobSmall,50,50,259
files,Earp,createrRawBlobLarge,50,50,4491
files,Earp,createrRawBlobLarge,50,50,4031
files,Earp,createrRawBlobLarge,50,50,7362
files,Earp,createrRawBlobLarge,50,50,4114
files,Earp,createrRawBlobLarge,50,50,7251
files,Earp,createrRawBlobLarge,50,50,5656
files,Earp,createrRawBlobLarge,50,50,7224
files,Earp,createrRawBlobLarge,50,50,4704
files,Earp,createrRawBlobLarge,50,50,4877
files,Earp,createrRawBlobLarge,50,50,6066
files,FFOS,createrRawBlobLarge,50,50,4887
files,FFOS,createrRawBlobLarge,50,50,7495
files,FFOS,createrRawBlobLarge,50,50,5347
files,FFOS,createrRawBlobLarge,50,50,5849
files,FFOS,createrRawBlobLarge,50,50,4987
files,FFOS,createrRawBlobLarge,50,50,7220
files,FFOS,createrRawBlobLarge,50,50,7664
files,FFOS,createrRawBlobLarge,50,50,5428
files,FFOS,createrRawBlobLarge,50,50,6733
files,FFOS,createrRawBlobLarge,50,50,6089
files,FFOS,other,0,0,0
files,Earp,other,0,0,0
files,FFOS,a,0,0,0
files,Earp,a,0,0,0
files,FFOS,b,0,0,0
files,Earp,b,0,0,0
